title,body
Elizabeth Warren on Big Banks and the Democratic Party: 5 Takeaways,Senator Elizabeth Warren of Massachusetts positioned herself as an alternative to the standard-bearers of the Democratic Party during a TimesTalks conversation.
DealBook Briefing: How Goldman Quieted a Whistle-Blower,"The bank’s general counsel and top execs, including its now C.E.O. David Solomon, urged an employee to move past complaints about sharing of confidential information."
A Top Goldman Banker Raised Ethics Concerns. Then He Was Gone.,"A senior banker called Goldman Sachs’s whistle-blower hotline, a rare dissent by a partner at the firm. His superiors, including the next chief executive, told him to relax."
The Banks Changed. Except for All the Ways They’re the Same.,They are taking less risk and holding more capital. But the powerful industry is also making record profits and is still dominated by huge firms.
Goldman Sachs Is Said to Be Under U.S. Scrutiny in Malaysian Inquiry,"Federal prosecutors in Brooklyn are investigating what role the firm may have played in the so-called 1MDB scandal, according to four people familiar with the inquiry."
Did Goldman Sachs Just Edge Away From Its Bonus Culture?,"A closely watched compensation number dropped in the second quarter. Is that a blip, or the start of a trend that could please Goldman’s shareholders?"
Read Lloyd Blankfein’s Farewell Memo to His Goldman Sachs Team,The firm’s chief executive has announced the end of his tenure after 12 years in the role. Here’s how he said goodbye.
Goldman Sachs Names David Solomon C.E.O. as Blankfein Plans Exit,"Mr. Solomon, a longtime investment banker, will replace Lloyd C. Blankfein at the helm of one of the most powerful institutions on Wall Street."
The Highs and Lows of Lloyd Blankfein’s Career at Goldman Sachs,Mr. Blankfein has seen a lot during his 12 years atop Wall Street’s vaunted firm. Here are some of his most notable triumphs and setbacks.
Room at the Top at Goldman Sachs,The company’s current examination of its business practices offers a good opportunity for separating the roles of the chief executive and the chairman.
The Goldman Sachs Diaspora,"When Goldman went public in 1999, a group of 221 executives controlled the firm. Now, only 39 remain, with the others going to top jobs in finance, government and even sports."
Reports on Goldman Sachs,Court records and financial regulatory reports on the investment bank.
Saving Goldman Sachs,"Ever since the Securities and Exchange Commission charged Goldman with civil fraud over the packaging and sale of a subprime-mortgage linked security, Lloyd Blankfein and Gary Cohn have been working overtime to save the storied franchise from the worst blow to its reputation in decades."
The Future of Goldman Sachs,"The Times’s Susanne Craig on the investment firm’s longtime chief executive Lloyd C. Blankfein, who is showing few signs of stepping down soon."
"Fight On, Goldman Sachs!",Changing Wall Street’s culture will require more than just passing regulatory reforms.
Goldman Sachs and the Economy,"Giving up some — possibly illusory — short-term growth is a very reasonable price to pay for stability in the financial system, two economists write."
Succession Questions Rise at Goldman Sachs,"Mr. Cohn, the No. 2 executive at Goldman Sachs, has been viewed as the firm’s natural next leader. But that was before he met with the president-elect."
Goldman Sachs Completes Return From Wilderness to the White House,"An influx of alumni under Donald J. Trump provokes little backlash, as fears of undue influence mix with relief that the executive branch has some adult supervision."
F.S.A. Investigating Goldman Sachs,"The Financial Services Authority, Britain’s financial regulator, said it had opened a formal investigation into Goldman Sachs in relation to recent accusations that the firm had defrauded investors."
Room at the Top at Goldman Sachs,The company’s current examination of its business practices offers a good opportunity for separating the roles of the chief executive and the chairman.
The Goldman Sachs Diaspora,"When Goldman went public in 1999, a group of 221 executives controlled the firm. Now, only 39 remain, with the others going to top jobs in finance, government and even sports."
Reports on Goldman Sachs,Court records and financial regulatory reports on the investment bank.
Saving Goldman Sachs,"Ever since the Securities and Exchange Commission charged Goldman with civil fraud over the packaging and sale of a subprime-mortgage linked security, Lloyd Blankfein and Gary Cohn have been working overtime to save the storied franchise from the worst blow to its reputation in decades."
The Future of Goldman Sachs,"The Times’s Susanne Craig on the investment firm’s longtime chief executive Lloyd C. Blankfein, who is showing few signs of stepping down soon."
"Fight On, Goldman Sachs!",Changing Wall Street’s culture will require more than just passing regulatory reforms.
Goldman Sachs and the Economy,"Giving up some — possibly illusory — short-term growth is a very reasonable price to pay for stability in the financial system, two economists write."
Succession Questions Rise at Goldman Sachs,"Mr. Cohn, the No. 2 executive at Goldman Sachs, has been viewed as the firm’s natural next leader. But that was before he met with the president-elect."
Goldman Sachs Completes Return From Wilderness to the White House,"An influx of alumni under Donald J. Trump provokes little backlash, as fears of undue influence mix with relief that the executive branch has some adult supervision."
F.S.A. Investigating Goldman Sachs,"The Financial Services Authority, Britain’s financial regulator, said it had opened a formal investigation into Goldman Sachs in relation to recent accusations that the firm had defrauded investors."
Following Goldman Sachs on Twitter,"Goldman Sachs, which recently announced it was looking to hire a manager for social media, is poised to become an active user of Twitter."
The Bullish Case for Goldman Sachs,"Shares of Goldman Sachs rose as much as 4 percent in trading on Monday morning, as investors considered a bullish argument for the firm that appeared in Barron’s this weekend."
Adding Up Parts at Goldman Sachs,New rules on earnings reporting makes valuing Goldman a bit easier than it once was.
The Golden Ticket at Goldman Sachs,Goldman Sach's partners are its highest executives and its biggest stars. An examination of filings by The New York Times reveals the power and wealth of this secretive group.
Goldman Sachs’s Aluminum Pile,Policy makers should examine the bank’s involvement in commodity markets.
Goldman Sachs on the U.S. Slowdown,"""There's irrational, fundamental oversupply in the oil market,"" says Gary D. Cohn, the president of Goldman Sachs, addressing the the dramatic dip in oil and the economic slowdown in China and the U.S."
The Litigation That Haunts Goldman Sachs,A decision by Judge Paul A. Crotty of Federal District Court in Manhattan will put the firm’s 2007 sales of collateralized debt obligations tied to subprime mortgages back under the microscope.
"At Goldman Sachs, Something in the Water",Discolored tap water afflicted Goldman’s gleaming new headquarters in lower Manhattan earlier this month.
Blankfein’s Tenure at Goldman Sachs,The chief executive’s troubles and triumphs have some people wondering how long he will last and whether the bank should rethink its top job.
TimesCast | Protests at Goldman Sachs,Occupy Wall Street protesters picket Goldman Sachs.
Following Goldman Sachs on Twitter,"Goldman Sachs, which recently announced it was looking to hire a manager for social media, is poised to become an active user of Twitter."
The Bullish Case for Goldman Sachs,"Shares of Goldman Sachs rose as much as 4 percent in trading on Monday morning, as investors considered a bullish argument for the firm that appeared in Barron’s this weekend."
Adding Up Parts at Goldman Sachs,New rules on earnings reporting makes valuing Goldman a bit easier than it once was.
The Golden Ticket at Goldman Sachs,Goldman Sach's partners are its highest executives and its biggest stars. An examination of filings by The New York Times reveals the power and wealth of this secretive group.
Goldman Sachs’s Aluminum Pile,Policy makers should examine the bank’s involvement in commodity markets.
Goldman Sachs on the U.S. Slowdown,"""There's irrational, fundamental oversupply in the oil market,"" says Gary D. Cohn, the president of Goldman Sachs, addressing the the dramatic dip in oil and the economic slowdown in China and the U.S."
The Litigation That Haunts Goldman Sachs,A decision by Judge Paul A. Crotty of Federal District Court in Manhattan will put the firm’s 2007 sales of collateralized debt obligations tied to subprime mortgages back under the microscope.
"At Goldman Sachs, Something in the Water",Discolored tap water afflicted Goldman’s gleaming new headquarters in lower Manhattan earlier this month.
Blankfein’s Tenure at Goldman Sachs,The chief executive’s troubles and triumphs have some people wondering how long he will last and whether the bank should rethink its top job.
TimesCast | Protests at Goldman Sachs,Occupy Wall Street protesters picket Goldman Sachs.
Goldman Sachs’s Aluminum Pile,Policy makers should examine the bank’s involvement in commodity markets.
Goldman Sachs Chief in Davos,Lloyd Blankfein says that volatility could turn on a dime and shares his thoughts on the European Central Bank’s stimulus plan.
"At Goldman Sachs, Something in the Water",Discolored tap water afflicted Goldman’s gleaming new headquarters in lower Manhattan earlier this month.
Goldman Sachs on the U.S. Slowdown,"""There's irrational, fundamental oversupply in the oil market,"" says Gary D. Cohn, the president of Goldman Sachs, addressing the the dramatic dip in oil and the economic slowdown in China and the U.S."
A Few Questions for Goldman Sachs,"Three possible questions senators might ask during the testimony of seven former and current employees of Goldman Sachs, which has been accused of securities fraud."
Behind Goldman Sachs’s Success Is a Focus on Survival,Goldman Sachs has made an effort to heal self-inflicted wounds and maintain its dominance in investment banking.
The Stock Market’s Next $1 Trillion Milestone: Buybacks,Corporate boards could authorize companies to purchase $1 trillion of their own stock this year.
"Rich: Fight On, Goldman Sachs!","Lloyd C. Blankfein’s unrepentant truculence exposed Goldman Sachs to an S.E.C. legal action that has, in a single week, radically transformed the politics and prospects for financial reform in America, Frank Rich writes in The New York Times."
M.T.A. to End Relationship With Goldman Sachs,Goldman Sachs had been working on a month-to-month basis with the Metropolitan Transportation Authority after its contract ended last year.
The Muppets Strike Back at Goldman Sachs,The comedy Web site “Funny or Die” has weighed in on the brouhaha spawned by a Goldman Sachs executive’s resignation Op-Ed with a slickly produced short sketch starring Kyle MacLachlan.
Goldman Sachs’s Aluminum Pile,Policy makers should examine the bank’s involvement in commodity markets.
Goldman Sachs Chief in Davos,Lloyd Blankfein says that volatility could turn on a dime and shares his thoughts on the European Central Bank’s stimulus plan.
"At Goldman Sachs, Something in the Water",Discolored tap water afflicted Goldman’s gleaming new headquarters in lower Manhattan earlier this month.
Goldman Sachs on the U.S. Slowdown,"""There's irrational, fundamental oversupply in the oil market,"" says Gary D. Cohn, the president of Goldman Sachs, addressing the the dramatic dip in oil and the economic slowdown in China and the U.S."
A Few Questions for Goldman Sachs,"Three possible questions senators might ask during the testimony of seven former and current employees of Goldman Sachs, which has been accused of securities fraud."
Behind Goldman Sachs’s Success Is a Focus on Survival,Goldman Sachs has made an effort to heal self-inflicted wounds and maintain its dominance in investment banking.
The Stock Market’s Next $1 Trillion Milestone: Buybacks,Corporate boards could authorize companies to purchase $1 trillion of their own stock this year.
"Rich: Fight On, Goldman Sachs!","Lloyd C. Blankfein’s unrepentant truculence exposed Goldman Sachs to an S.E.C. legal action that has, in a single week, radically transformed the politics and prospects for financial reform in America, Frank Rich writes in The New York Times."
M.T.A. to End Relationship With Goldman Sachs,Goldman Sachs had been working on a month-to-month basis with the Metropolitan Transportation Authority after its contract ended last year.
The Muppets Strike Back at Goldman Sachs,The comedy Web site “Funny or Die” has weighed in on the brouhaha spawned by a Goldman Sachs executive’s resignation Op-Ed with a slickly produced short sketch starring Kyle MacLachlan.
M.T.A. to End Relationship With Goldman Sachs,Goldman Sachs had been working on a month-to-month basis with the Metropolitan Transportation Authority after its contract ended last year.
The J. Aron Takeover of Goldman Sachs,"When Goldman Sachs bought the commodities broker J. Aron & Company in 1981, the cultures clashed, but now J. Aron alumni control the elevator to the executive suite."
S.E.C. Questions Goldman Sachs on Offering,"The S.E.C. is interested in several issues, including the structure of the Facebook deal and media reports about the offering, according to people with direct knowledge of the inquiry."
Goldman Sachs Prepares to Cut Jobs,The Wall Street plans to lay off 230 employees in New York. The job cuts would begin at the end of September.
Goldman Sachs Keeps a Lid on Pay,"The value of the bank’s compensation and benefits for 2013 is the lowest it has been since 2009, measured as a proportion of net revenue, according to results released on Thursday."
Goldman Sachs on Tax Inversion Deals,"Gary Cohn, chief operating officer of Goldman Sachs, weighs in on tax inversions and helping U.S. companies create jobs."
Is Goldman Sachs Too Big to Fail?,"If a bank like Goldman were in trouble, policy makers would face the unappealing options that existed for Lehman Brothers, to let it fail or bail it out, an economist writes."
Partners’ Stake in Goldman Sachs Rises,"In a regulatory filing, Goldman disclosed that its 407 partners own 12.7 percent of the the investment, up from 11.4 percent in late October."
A New Face on the Rise at Goldman Sachs?,"Michael Evans, current head of Goldman Sachs’s Asian operations, is tipped to raise higher still in the bank’s management, with some hinting that a role as co-president is not out of the cards, The Financial Times reports."
Goldman Sachs Cuts a Little Deeper,"The Wall Street firm laid off about 50 people last week, a number of them managing directors, according to people briefed on the matter."
Partners’ Stake in Goldman Sachs Rises,"In a regulatory filing, Goldman disclosed that its 407 partners own 12.7 percent of the the investment, up from 11.4 percent in late October."
Profit and Revenue Drop at Goldman Sachs,"Goldman Sachs reported on Thursday that first-quarter profit declined to $2.03 billion, reflecting a drop in its fixed-income unit and overall revenue, but its results exceeded expectations."
Goldman Sachs Touts Steady Strategy,"Mary Thompson of CNBC reports that Lloyd Blankfein, chief executive of Goldman Sachs, has outlined changes to the business model that will make the bank more predictable."
Goldman Sachs Prepares to Cut Jobs,The Wall Street plans to lay off 230 employees in New York. The job cuts would begin at the end of September.
Goldman Sachs Struggles to Navigate the Markets,"The Wall Street powerhouse is slowly changing course, but its high valuation relative to its rivals demands faster improvement."
Goldman Sachs Keeps a Lid on Pay,"The value of the bank’s compensation and benefits for 2013 is the lowest it has been since 2009, measured as a proportion of net revenue, according to results released on Thursday."
Is Goldman Sachs Too Big to Fail?,"If a bank like Goldman were in trouble, policy makers would face the unappealing options that existed for Lehman Brothers, to let it fail or bail it out, an economist writes."
A Wave of Partner Retirements at Goldman Sachs,"More than a dozen Goldman partners have announced plans to leave recently, a much higher number than in years past, including some well-known names on Wall Street like Kevin Kennedy and Jeff Resnick."
Stiglitz Calls for ‘Goldman Sachs Amendment’,"Joseph E. Stiglitz, the Nobel Prize-winning economist, wants the financial regulatory bill to bar financial firms that give up their bank charters from ever being able to seek government assistance again."
What Goldman Sachs Failed to Acknowledge,"Policy makers and regulators endanger the financial system by not insisting that big banks rely less on debt and more on equity, an economist writes."
A Wave of Partner Retirements at Goldman Sachs,"More than a dozen Goldman partners have announced plans to leave recently, a much higher number than in years past, including some well-known names on Wall Street like Kevin Kennedy and Jeff Resnick."
Libya vs. Goldman Sachs Judgment,A London court judged that the Wall Street firm hadn’t taken advantage of the inexperienced sovereign wealth fund.
Stiglitz Calls for ‘Goldman Sachs Amendment’,"Joseph E. Stiglitz, the Nobel Prize-winning economist, wants the financial regulatory bill to bar financial firms that give up their bank charters from ever being able to seek government assistance again."
Riffing on Life After Goldman Sachs,"Breaking the so-called golden handcuffs of finance can be tough, but several Goldman Sachs have successfully left the fold to pursue their passions."
Goldman Sachs Chief on Cancer Treatment,"Lloyd Blankfein shares his experience dealing with treatment after his diagnosis of lymphoma. ""It was all pretty manageable,"" the Goldman chairman said of his hours of chemotherapy."
Goldman Sachs Selects 84 New Partners,This year’s list of the chosen is the longest since 2010 and includes the largest percentage of women.
Goldman Sachs Banker Charged With Fraud in Insider Trading Case,"The San Francisco-based investment banker and a friend from Seoul shared a brokerage account where they made illegal trades, federal prosecutors said."
eToys vs. Goldman Sachs: The Documents,The following are a selection of documents that are part of the litigation between eToys creditors and Goldman Sachs over the 1999 eToys IPO.
"After 147 Years, Goldman Sachs Hangs a Shingle on Main Street",The elite Wall Street institution now sees growth opportunities in catering to the everyday people it has avoided through its history.
Sneak Peeks Into New Book on Goldman Sachs,"The book by Greg Smith, a former employee of Goldman Sachs, isn’t scheduled to be released until Monday. But some details are already coming to light."
A Wave of Partner Retirements at Goldman Sachs,"More than a dozen Goldman partners have announced plans to leave recently, a much higher number than in years past, including some well-known names on Wall Street like Kevin Kennedy and Jeff Resnick."
Libya vs. Goldman Sachs Judgment,A London court judged that the Wall Street firm hadn’t taken advantage of the inexperienced sovereign wealth fund.
Stiglitz Calls for ‘Goldman Sachs Amendment’,"Joseph E. Stiglitz, the Nobel Prize-winning economist, wants the financial regulatory bill to bar financial firms that give up their bank charters from ever being able to seek government assistance again."
Riffing on Life After Goldman Sachs,"Breaking the so-called golden handcuffs of finance can be tough, but several Goldman Sachs have successfully left the fold to pursue their passions."
Goldman Sachs Chief on Cancer Treatment,"Lloyd Blankfein shares his experience dealing with treatment after his diagnosis of lymphoma. ""It was all pretty manageable,"" the Goldman chairman said of his hours of chemotherapy."
Goldman Sachs Selects 84 New Partners,This year’s list of the chosen is the longest since 2010 and includes the largest percentage of women.
Goldman Sachs Banker Charged With Fraud in Insider Trading Case,"The San Francisco-based investment banker and a friend from Seoul shared a brokerage account where they made illegal trades, federal prosecutors said."
eToys vs. Goldman Sachs: The Documents,The following are a selection of documents that are part of the litigation between eToys creditors and Goldman Sachs over the 1999 eToys IPO.
"After 147 Years, Goldman Sachs Hangs a Shingle on Main Street",The elite Wall Street institution now sees growth opportunities in catering to the everyday people it has avoided through its history.
Sneak Peeks Into New Book on Goldman Sachs,"The book by Greg Smith, a former employee of Goldman Sachs, isn’t scheduled to be released until Monday. But some details are already coming to light."
Goldman Sachs on Breaking Up Big Banks,"Lloyd Blankfein, chief executive of Goldman Sachs, shares his thoughts on breaking up big banks."
Goldman Sachs Adds Five to Management Committee,"The five additions to the firm’s influential management committee, a group of Goldman insiders that has the ear of the bank’s top brass, bring the total number of members to 34, the largest it’s ever been."
"After 147 Years, Goldman Sachs Hangs a Shingle on Main Street",The elite Wall Street institution now sees growth opportunities in catering to the everyday people it has avoided through its history.
Goldman Sachs and Apple Plan to Offer a New Credit Card,"As part of its consumer finance push, the Wall Street bank is teaming up with Apple to develop a new credit card that would bear the Apple Pay brand."
Goldman Sachs’ $111 Million Bonus Windfall,"The firm’s chief executive, Lloyd Blankfein; its president, Gary Cohn; and other top executives are set to receive $111 million in deferred compensation, Bloomberg News reports."
Protesters Arrested Outside Goldman Sachs Building,"The police said the protesters apparently held a mock trial of Goldman Sachs, a main target of the Occupy Wall Street movement, at their encampment in Zuccotti Park before setting out for the building to deliver their verdict."
One Crowd Is Still Loyal to Goldman Sachs,"Despite all the bad headlines — the accusations of fraud, the talk of a big settlement, the risk, however remote, of criminal charges — there’s an inconvenient truth that’s been largely ignored: Most of Goldman’s big customers are not bolting."
Shire Said to Hire Goldman Sachs as an Adviser,"Shire last week turned down a $46 billion bid from Chicago-based AbbVie, but it may be entertaining a higher offer soon."
Marvell Co-Founders Sue Goldman Sachs,The two executives accuse Goldman of duping them into selling shares of their semiconductor company so Goldman could buy them for its own account.
"Lloyd Blankfein, Goldman Sachs C.E.O., Has Lymphoma",Mr. Blankfein said in a letter to shareholders and employees that he had a “highly curable” form of cancer.
Goldman Sachs on Breaking Up Big Banks,"Lloyd Blankfein, chief executive of Goldman Sachs, shares his thoughts on breaking up big banks."
Goldman Sachs Adds Five to Management Committee,"The five additions to the firm’s influential management committee, a group of Goldman insiders that has the ear of the bank’s top brass, bring the total number of members to 34, the largest it’s ever been."
"After 147 Years, Goldman Sachs Hangs a Shingle on Main Street",The elite Wall Street institution now sees growth opportunities in catering to the everyday people it has avoided through its history.
Goldman Sachs and Apple Plan to Offer a New Credit Card,"As part of its consumer finance push, the Wall Street bank is teaming up with Apple to develop a new credit card that would bear the Apple Pay brand."
Goldman Sachs’ $111 Million Bonus Windfall,"The firm’s chief executive, Lloyd Blankfein; its president, Gary Cohn; and other top executives are set to receive $111 million in deferred compensation, Bloomberg News reports."
Protesters Arrested Outside Goldman Sachs Building,"The police said the protesters apparently held a mock trial of Goldman Sachs, a main target of the Occupy Wall Street movement, at their encampment in Zuccotti Park before setting out for the building to deliver their verdict."
One Crowd Is Still Loyal to Goldman Sachs,"Despite all the bad headlines — the accusations of fraud, the talk of a big settlement, the risk, however remote, of criminal charges — there’s an inconvenient truth that’s been largely ignored: Most of Goldman’s big customers are not bolting."
Shire Said to Hire Goldman Sachs as an Adviser,"Shire last week turned down a $46 billion bid from Chicago-based AbbVie, but it may be entertaining a higher offer soon."
Marvell Co-Founders Sue Goldman Sachs,The two executives accuse Goldman of duping them into selling shares of their semiconductor company so Goldman could buy them for its own account.
"Lloyd Blankfein, Goldman Sachs C.E.O., Has Lymphoma",Mr. Blankfein said in a letter to shareholders and employees that he had a “highly curable” form of cancer.
Marvell Co-Founders Sue Goldman Sachs,The two executives accuse Goldman of duping them into selling shares of their semiconductor company so Goldman could buy them for its own account.
Goldman Sachs’ $111 Million Bonus Windfall,"The firm’s chief executive, Lloyd Blankfein; its president, Gary Cohn; and other top executives are set to receive $111 million in deferred compensation, Bloomberg News reports."
Jury Debates Goldman Sachs Code Case,"Sergey Aleynikov, a former programmer accused of stealing computer code when he left the firm, awaits the verdict."
Goldman Sachs to Fine-Tune Its Practices,"Accused of putting its own interests ahead of clients, the investment bank plans to detail new rules on disclosure and financial reporting. But the changes are mainly modifications of its operations rather than a complete overhaul."
"At Goldman Sachs, Even the Legal Fees Are Different",The company’s corporate bylaws are ambiguous about paying employees’ legal fees.
Senate Spars With Goldman Sachs Over Commodities,"Goldman executives locked in a testy public face-off with members of Congress, fighting suggestions that the bank had taken too large a role in the commodities market."
Why I Am Leaving Goldman Sachs,An executive resigns from his position over an integrity problem too big to ignore.
Goldman Sachs Reports $428 Million Loss,"Goldman Sachs, weighed down by problems in its private equity portfolio and the broader global economic woes, reported a loss of $428 million."
The Great Goldman Sachs Fire Sale of 2008,"If everything was really under control after Lehman collapsed, why were Goldman executives dumping their stock by the bushelful?"
"Bolstered by Investments, Goldman Sachs’s Profit Soars","Goldman Sachs on Wednesday reported fourth-quarter profit of $2.89 billion, or $5.60 a share, beating analysts’ estimates."
Marvell Co-Founders Sue Goldman Sachs,The two executives accuse Goldman of duping them into selling shares of their semiconductor company so Goldman could buy them for its own account.
Goldman Sachs’ $111 Million Bonus Windfall,"The firm’s chief executive, Lloyd Blankfein; its president, Gary Cohn; and other top executives are set to receive $111 million in deferred compensation, Bloomberg News reports."
Jury Debates Goldman Sachs Code Case,"Sergey Aleynikov, a former programmer accused of stealing computer code when he left the firm, awaits the verdict."
Goldman Sachs to Fine-Tune Its Practices,"Accused of putting its own interests ahead of clients, the investment bank plans to detail new rules on disclosure and financial reporting. But the changes are mainly modifications of its operations rather than a complete overhaul."
"At Goldman Sachs, Even the Legal Fees Are Different",The company’s corporate bylaws are ambiguous about paying employees’ legal fees.
Senate Spars With Goldman Sachs Over Commodities,"Goldman executives locked in a testy public face-off with members of Congress, fighting suggestions that the bank had taken too large a role in the commodities market."
Why I Am Leaving Goldman Sachs,An executive resigns from his position over an integrity problem too big to ignore.
Goldman Sachs Reports $428 Million Loss,"Goldman Sachs, weighed down by problems in its private equity portfolio and the broader global economic woes, reported a loss of $428 million."
The Great Goldman Sachs Fire Sale of 2008,"If everything was really under control after Lehman collapsed, why were Goldman executives dumping their stock by the bushelful?"
"Bolstered by Investments, Goldman Sachs’s Profit Soars","Goldman Sachs on Wednesday reported fourth-quarter profit of $2.89 billion, or $5.60 a share, beating analysts’ estimates."
Marvell Co-Founders Sue Goldman Sachs,The two executives accuse Goldman of duping them into selling shares of their semiconductor company so Goldman could buy them for its own account.
Goldman Sachs’ $111 Million Bonus Windfall,"The firm’s chief executive, Lloyd Blankfein; its president, Gary Cohn; and other top executives are set to receive $111 million in deferred compensation, Bloomberg News reports."
Jury Debates Goldman Sachs Code Case,"Sergey Aleynikov, a former programmer accused of stealing computer code when he left the firm, awaits the verdict."
Goldman Sachs to Fine-Tune Its Practices,"Accused of putting its own interests ahead of clients, the investment bank plans to detail new rules on disclosure and financial reporting. But the changes are mainly modifications of its operations rather than a complete overhaul."
"At Goldman Sachs, Even the Legal Fees Are Different",The company’s corporate bylaws are ambiguous about paying employees’ legal fees.
Senate Spars With Goldman Sachs Over Commodities,"Goldman executives locked in a testy public face-off with members of Congress, fighting suggestions that the bank had taken too large a role in the commodities market."
Why I Am Leaving Goldman Sachs,An executive resigns from his position over an integrity problem too big to ignore.
Goldman Sachs Reports $428 Million Loss,"Goldman Sachs, weighed down by problems in its private equity portfolio and the broader global economic woes, reported a loss of $428 million."
The Great Goldman Sachs Fire Sale of 2008,"If everything was really under control after Lehman collapsed, why were Goldman executives dumping their stock by the bushelful?"
"Bolstered by Investments, Goldman Sachs’s Profit Soars","Goldman Sachs on Wednesday reported fourth-quarter profit of $2.89 billion, or $5.60 a share, beating analysts’ estimates."
